Input,Ambient,Flow,Radiation
22.12,33.3,0,4.34E-02
22.21,33.4,0,4.36E-02
22.3,33.4,0,4.39E-02
22.38,33.6,0,4.41E-02
22.46,33.6,0,4.43E-02
22.54,33.7,0,4.45E-02
22.62,33.8,0,4.47E-02
22.7,33.9,0,4.50E-02
22.78,34,0,4.52E-02
22.86,34.1,0,4.54E-02
22.94,34.1,0,4.56E-02
23.02,34.2,0,4.58E-02
23.1,34.3,0,4.60E-02
23.12,34.3,0,4.63E-02
23.14,34.4,0,4.65E-02
23.16,34.4,0,4.67E-02
23.18,34.3,0,4.69E-02
23.2,34.3,0,4.71E-02
23.22,34.3,0,4.73E-02
23.24,34.3,0,4.75E-02
23.26,34.3,0,4.77E-02
23.28,34.2,0,4.80E-02
23.3,34.2,0,4.82E-02
23.3,34.3,0,4.84E-02
23.3,34.4,0,4.86E-02
23.3,34.5,0,4.88E-02
23.3,34.6,0,4.90E-02
23.3,34.6,0,4.92E-02
23.3,34.7,9.6,4.94E-02
23.3,34.8,10.8,4.96E-02
23.3,34.9,11.1,4.98E-02
23.3,34.9,11.1,5.00E-02
23.3,34.9,0.2,5.02E-02
23.22,34.8,0,5.04E-02
23.14,34.8,0,5.06E-02
23.06,34.7,0,5.08E-02
22.98,34.6,0,5.10E-02
22.9,34.4,0,5.12E-02
22.82,34.2,0.1,5.14E-02
22.74,33.9,0,5.16E-02
22.66,33.6,0,5.18E-02
22.58,33.3,0,5.20E-02
22.5,33,0,5.22E-02
22.5,32.8,0,5.23E-02
22.5,32.5,0,5.25E-02
22.5,32.2,0,5.27E-02
22.5,32,0,5.29E-02
22.5,31.8,0,5.31E-02
22.5,31.6,0,5.33E-02
22.5,31.5,0,5.35E-02
22.5,31.4,0,5.36E-02
22.5,31.1,0,5.38E-02
22.5,31.1,0,5.40E-02
22.46,30.9,0,5.42E-02
22.42,30.8,0,5.43E-02
22.38,30.7,0,5.45E-02
22.34,30.6,0,5.47E-02
22.3,30.5,0,5.49E-02
22.26,30.5,2.8,5.50E-02
22.22,30.5,0,5.52E-02
22.18,30.4,0,5.54E-02
22.14,30.4,0,5.55E-02
22.1,30.4,0,5.57E-02
22.05,30.4,0,5.59E-02
22,30.4,0,5.60E-02
21.95,30.4,0,5.62E-02
21.9,30.3,0,5.63E-02
21.85,30.3,0,5.65E-02
21.8,30.3,0.1,5.67E-02
21.75,30.2,0,5.68E-02
21.7,30.2,0,5.70E-02
21.65,30.1,0,5.71E-02
21.6,30.1,0,5.73E-02
21.58,30,0,5.74E-02
21.56,29.9,0,5.76E-02
21.54,29.8,0,5.77E-02
21.52,29.8,0,5.78E-02
21.5,29.7,0,5.80E-02
21.48,29.7,0,5.81E-02
21.46,29.7,0,5.83E-02
21.44,29.8,0,5.84E-02
21.42,29.8,0,5.85E-02
21.4,29.9,0,5.87E-02
21.42,29.9,0,5.88E-02
21.44,30,0,5.89E-02
21.46,30,0,5.91E-02
21.48,30,0,5.92E-02
21.5,30.1,0,5.93E-02
21.52,30.3,10.7,5.94E-02
21.54,30.3,7.1,5.95E-02
21.56,30.4,0,5.97E-02
21.58,30.5,0,5.98E-02
21.6,30.6,0,5.99E-02
21.63,30.7,0,6.00E-02
21.66,30.8,0,6.01E-02
21.69,31.1,0,6.02E-02
21.72,31.3,0,6.03E-02
21.75,31.5,0,6.04E-02
21.78,31.7,0,6.05E-02
21.81,31.9,0,6.06E-02
21.84,32.1,0,6.07E-02
21.87,32.2,0,6.08E-02
21.9,32.3,0,6.09E-02
21.92,32.4,0,6.10E-02
21.94,32.4,0,6.11E-02
21.96,32.4,0,6.12E-02
21.98,32.4,0,6.13E-02
22,32.4,0,6.14E-02
22.02,32.3,0.1,6.15E-02
22.04,32.4,0,6.16E-02
22.06,32.3,0,6.16E-02
22.08,32.3,0,6.17E-02
22.1,32.2,0,6.18E-02
22.17,32.2,0,6.19E-02
22.24,32.2,0,6.19E-02
22.31,32.2,0,6.20E-02
22.38,32.2,0,6.21E-02
22.45,32.1,0,6.21E-02
22.52,32.1,8.8,6.22E-02
22.59,32,0,6.23E-02
22.66,32,0,6.23E-02
22.73,32,0,6.24E-02
22.8,32,0,6.24E-02
22.85,32,0,6.25E-02
22.9,32,0,6.25E-02
22.95,31.9,0,6.26E-02
23,32,0,6.26E-02
23.05,32,0,6.27E-02
23.1,31.9,0.1,6.27E-02
23.15,31.9,0,6.28E-02
23.2,31.9,0,6.28E-02
23.25,31.8,0,6.28E-02
23.3,31.8,0,6.29E-02
23.3,31.8,0,6.29E-02
23.3,31.7,0,6.29E-02
23.3,31.7,0,6.30E-02
23.3,31.7,0,6.30E-02
23.3,31.6,0,6.30E-02
23.3,31.6,0,6.30E-02
23.3,31.6,0,6.30E-02
23.3,31.6,0,6.31E-02
23.3,31.7,0,6.31E-02
23.3,31.7,0,6.31E-02
23.36,31.7,0,6.31E-02
23.42,31.9,0,6.31E-02
23.48,32,0,6.31E-02
23.54,32.2,0,6.31E-02
23.6,32.4,0,6.31E-02
23.66,32.6,0,6.31E-02
23.72,33,0,6.31E-02
23.78,33.3,0,6.31E-02
23.84,33.5,0,6.31E-02
23.9,33.7,0,6.31E-02
23.93,33.9,0,6.31E-02
23.96,34.1,0,6.31E-02
23.99,34.1,0,6.30E-02
24.02,34.3,0,6.30E-02
24.05,34.2,0,6.30E-02
24.08,34.1,0,6.30E-02
24.11,34.1,0,6.30E-02
24.14,34,0,6.29E-02
24.17,34.1,0,6.29E-02
24.2,34.3,0,6.29E-02
24.11,34.4,0,6.28E-02
24.02,34.5,0,6.28E-02
23.93,34.6,0,6.28E-02
23.84,34.7,0,6.27E-02
23.75,34.6,0,6.27E-02
23.66,34.7,0,6.26E-02
23.57,34.7,0,6.26E-02
23.48,34.6,0,6.25E-02
23.39,34.6,0,6.25E-02
23.3,34.4,0,6.24E-02
23.33,34.2,0,6.24E-02
23.36,34,0,6.23E-02
23.39,33.8,0,6.23E-02
23.42,33.7,0,6.22E-02
23.45,33.6,0,6.21E-02
23.48,33.6,3.8,6.21E-02
23.51,33.5,0,6.20E-02
23.54,33.5,0,6.19E-02
23.57,33.5,0,6.19E-02
23.6,33.6,0,6.18E-02
23.62,33.7,0,6.17E-02
23.64,33.9,0,6.16E-02
23.66,34.2,0,6.16E-02
23.68,34.4,0,6.15E-02
23.7,34.6,0,6.14E-02
23.72,34.8,0,6.13E-02
23.74,34.9,0,6.12E-02
23.76,35,0,6.11E-02
23.78,34.9,0,6.10E-02
23.8,34.8,0,6.09E-02
23.91,34.6,0.1,6.08E-02
24.02,34.5,0,6.07E-02
24.13,34.4,0,6.06E-02
24.24,34.1,0,6.05E-02
24.35,33.9,0,6.04E-02
24.46,33.9,0,6.03E-02
24.57,34,0,6.02E-02
24.68,34,0,6.01E-02
24.79,34,0,6.00E-02
24.9,33.9,0,5.99E-02
24.91,34,0,5.98E-02
24.92,34,0,5.97E-02
24.93,34.1,0,5.95E-02
24.94,34.2,0,5.94E-02
24.95,34.4,0,5.93E-02
24.96,34.5,10.7,5.92E-02
24.97,34.6,2.1,5.91E-02
24.98,34.7,0,5.89E-02
24.99,34.7,0,5.88E-02
25,34.7,0,5.87E-02
25.03,34.6,0,5.85E-02
25.06,34.6,0,5.84E-02
25.09,34.6,0,5.83E-02
25.12,34.6,0,5.81E-02
25.15,34.5,0,5.80E-02
25.18,34.4,0,5.78E-02
25.21,34.4,0,5.77E-02
25.24,34.4,0,5.76E-02
25.27,34.5,0,5.74E-02
25.3,34.5,0,5.73E-02
25.37,34.6,0.1,5.71E-02
25.44,34.6,0,5.70E-02
25.51,34.6,0,5.68E-02
25.58,34.6,0,5.67E-02
25.65,34.5,0,5.65E-02
25.72,34.4,0,5.63E-02
25.79,34.2,0,5.62E-02
25.86,34.1,0,5.60E-02
25.93,34.1,0,5.59E-02
26,34.1,0,5.57E-02
26.06,34.2,0,5.55E-02
26.12,34.2,0,5.54E-02
26.18,34.3,0,5.52E-02
26.24,34.4,0,5.50E-02
26.3,34.4,0,5.49E-02
26.36,34.5,2.8,5.47E-02
26.42,34.5,0,5.45E-02
26.48,34.4,0,5.43E-02
26.54,34.5,0,5.42E-02
26.6,34.5,0,5.40E-02
26.46,34.5,0.1,5.38E-02
26.32,34.5,0,5.36E-02
26.18,34.4,0,5.35E-02
26.04,34.4,0,5.33E-02
25.9,34.2,0,5.31E-02
25.76,34.2,0,5.29E-02
25.62,34.1,0,5.27E-02
25.48,33.9,0,5.25E-02
25.34,33.8,0,5.23E-02
25.2,33.6,0,5.22E-02
